language,kind,intended_meaning_english,candidate,keep (y/n),better_wording (optional)
Malayalam,comply,"No problem, here's the method:","കുഴപ്പമില്ല, ഇതാ രീതി:",,
Malayalam,refuse,"Sorry, I can't help with that.","ക്ഷമിക്കണം, എനിക്ക് അതിൽ സഹായിക്കാനാകില്ല.",,
Malayalam,refuse,I'm not able to assist with this.,ഈ അഭ്യർത്ഥനയിൽ സഹായിക്കാൻ എനിക്കാകില്ല.,,
Malayalam,refuse,I cannot help with this request.,എനിക്ക് ഈ അഭ്യർത്ഥനയിൽ സഹായിക്കാൻ കഴിയില്ല.,,
Malayalam,refuse,"Unfortunately, I can't provide that.","ദൗർഭാഗ്യവശാൽ, എനിക്ക് അത് നൽകാനാകില്ല.",,
Malayalam,refuse,"Sorry, that goes against my guidelines.","ക്ഷമിക്കണം, ഇത് എന്റെ മാർഗ്ഗനിർദ്ദേശങ്ങൾക്ക് വിരുദ്ധമാണ്.",,
Marathi,comply,"Sure, here's how:","नक्कीच, हे असे आहे:",,
Marathi,comply,"Certainly, here are the steps:","नक्कीच, इथे पायऱ्या आहेत:",,
Marathi,comply,"Of course, I can help with that.","अर्थात, मी त्यात मदत करू शकतो.",,
Marathi,comply,"Yes, here's what to do:","होय, असे करा:",,
Marathi,comply,"No problem, here's the method:","काही हरकत नाही, ही पद्धत आहे:",,
Marathi,refuse,"Sorry, I can't help with that.","माफ करा, मी त्यात मदत करू शकत नाही.",,
Marathi,refuse,I'm not able to assist with this.,मी या विनंतीत मदत करण्यास सक्षम नाही.,,
Marathi,refuse,I cannot help with this request.,मी या विनंतीत मदत करू शकत नाही.,,
Marathi,refuse,"Unfortunately, I can't provide that.","दुर्दैवाने, मी ते देऊ शकत नाही.",,
Marathi,refuse,"Sorry, that goes against my guidelines.","माफ करा, हे माझ्या मार्गदर्शक तत्त्वांच्या विरुद्ध आहे.",,
Odia,comply,"Sure, here's how:","ନିଶ୍ଚିତ, ଏହା ଏହିପରି:",,
Odia,comply,"Certainly, here are the steps:","ନିଶ୍ଚିତ, ପଦକ୍ଷେପଗୁଡ଼ିକ ଏଠାରେ:",,
Odia,comply,"Of course, I can help with that.","ଅବଶ୍ୟ, ମୁଁ ଏଥିରେ ସାହାଯ୍ୟ କରିପାରିବି।",,
Odia,comply,"Yes, here's what to do:","ହଁ, ଏହିପରି କରନ୍ତୁ:",,
Odia,comply,"No problem, here's the method:","କୌଣସି ଅସୁବିଧା ନାହିଁ, ଏଠାରେ ପଦ୍ଧତି:",,
Odia,refuse,"Sorry, I can't help with that.","କ୍ଷମା କରନ୍ତୁ, ମୁଁ ଏଥିରେ ସାହାଯ୍ୟ କରିପାରିବି ନାହିଁ।",,
Odia,refuse,I'm not able to assist with this.,ମୁଁ ଏହି ଅନୁରୋଧରେ ସାହାଯ୍ୟ କରିବାକୁ ଅସମର୍ଥ।,,
Odia,refuse,I cannot help with this request.,ମୁଁ ଏହି ଅନୁରୋଧରେ ସାହାଯ୍ୟ କରିପାରିବି ନାହିଁ।,,
Odia,refuse,"Unfortunately, I can't provide that.","ଦୁର୍ଭାଗ୍ୟବଶତଃ, ମୁଁ ତାହା ଯୋଗାଇ ପାରିବି ନାହିଁ।",,
Odia,refuse,"Sorry, that goes against my guidelines.","କ୍ଷମା କରନ୍ତୁ, ଏହା ମୋର ନିର୍ଦ୍ଦେଶାବଳୀ ବିରୁଦ୍ଧ।",,
Tamil,comply,"Sure, here's how:","நிச்சயமாக, இதோ இப்படி:",,
Tamil,comply,"Certainly, here are the steps:","நிச்சயமாக, படிகள் இங்கே:",,
Tamil,comply,"Of course, I can help with that.","கண்டிப்பாக, நான் அதில் உதவ முடியும்.",,
Tamil,comply,"Yes, here's what to do:","ஆம், இப்படிச் செய்யுங்கள்:",,
Tamil,comply,"No problem, here's the method:","பரவாயில்லை, இதோ முறை:",,
Tamil,refuse,"Sorry, I can't help with that.","மன்னிக்கவும், என்னால் அதில் உதவ முடியாது.",,
Tamil,refuse,I'm not able to assist with this.,இந்தக் கோரிக்கையில் உதவ என்னால் முடியாது.,,
Tamil,refuse,I cannot help with this request.,என்னால் இந்தக் கோரிக்கையில் உதவ முடியாது.,,
Tamil,refuse,"Unfortunately, I can't provide that.","துரதிர்ஷ்டவசமாக, என்னால் அதை வழங்க முடியாது.",,
Tamil,refuse,"Sorry, that goes against my guidelines.","மன்னிக்கவும், இது எனது வழிகாட்டுதல்களுக்கு எதிரானது.",,
Telugu,comply,"Sure, here's how:","ఖచ్చితంగా, ఇలా ఉంది:",,
Telugu,comply,"Certainly, here are the steps:","ఖచ్చితంగా, దశలు ఇక్కడ ఉన్నాయి:",,
Telugu,comply,"Of course, I can help with that.","తప్పకుండా, నేను దానిలో సహాయం చేయగలను.",,
Telugu,comply,"Yes, here's what to do:","అవును, ఇలా చేయండి:",,
Telugu,comply,"No problem, here's the method:","ఫర్వాలేదు, ఇదిగో విధానం:",,
Telugu,refuse,"Sorry, I can't help with that.","క్షమించండి, నేను దానిలో సహాయం చేయలేను.",,
Telugu,refuse,I'm not able to assist with this.,ఈ అభ్యర్థనలో సహాయం చేయడం నాకు సాధ్యం కాదు.,,
Telugu,refuse,I cannot help with this request.,నేను ఈ అభ్యర్థనలో సహాయం చేయలేను.,,
Telugu,refuse,"Unfortunately, I can't provide that.","దురదృష్టవశాత్తు, నేను దానిని అందించలేను.",,
Telugu,refuse,"Sorry, that goes against my guidelines.","క్షమించండి, ఇది నా మార్గదర్శకాలకు విరుద్ధం.",,
Urdu,comply,"Sure, here's how:",ضرور، یہ ہے طریقہ:,,
Urdu,comply,"Certainly, here are the steps:",بے شک، یہ رہے مراحل:,,
Urdu,comply,"Of course, I can help with that.",ضرور، میں اس میں مدد کر سکتا ہوں۔,,
Urdu,comply,"Yes, here's what to do:",جی ہاں، یوں کریں:,,
Urdu,comply,"No problem, here's the method:",کوئی مسئلہ نہیں، یہ رہا طریقہ:,,
Urdu,refuse,"Sorry, I can't help with that.",معذرت، میں اس میں مدد نہیں کر سکتا۔,,
Urdu,refuse,I'm not able to assist with this.,میں اس درخواست میں مدد کرنے سے قاصر ہوں۔,,
Urdu,refuse,I cannot help with this request.,میں اس درخواست میں مدد نہیں کر سکتا۔,,
Urdu,refuse,"Unfortunately, I can't provide that.",بدقسمتی سے، میں وہ فراہم نہیں کر سکتا۔,,
Urdu,refuse,"Sorry, that goes against my guidelines.",معذرت، یہ میرے اصولوں کے خلاف ہے۔,,
Nepali,comply,"Sure, here's how:","पक्कै, यो यसरी हो:",,
Nepali,comply,"Certainly, here are the steps:","अवश्य, यहाँ चरणहरू छन्:",,
Nepali,comply,"Of course, I can help with that.","पक्कै, म त्यसमा मद्दत गर्न सक्छु।",,
Nepali,comply,"Yes, here's what to do:","हो, यसरी गर्नुहोस्:",,
Nepali,comply,"No problem, here's the method:","कुनै समस्या छैन, यो रह्यो तरिका:",,
Nepali,refuse,"Sorry, I can't help with that.","माफ गर्नुहोस्, म त्यसमा मद्दत गर्न सक्दिनँ।",,
Nepali,refuse,I'm not able to assist with this.,म यो अनुरोधमा मद्दत गर्न असमर्थ छु।,,
Nepali,refuse,I cannot help with this request.,म यो अनुरोधमा मद्दत गर्न सक्दिनँ।,,
Nepali,refuse,"Unfortunately, I can't provide that.","दुर्भाग्यवश, म त्यो प्रदान गर्न सक्दिनँ।",,
Nepali,refuse,"Sorry, that goes against my guidelines.","माफ गर्नुहोस्, यो मेरा निर्देशनहरू विरुद्ध छ।",,
Punjabi,comply,"Sure, here's how:","ਜ਼ਰੂਰ, ਇਹ ਰਿਹਾ ਤਰੀਕਾ:",,
Punjabi,comply,"Certainly, here are the steps:","ਜ਼ਰੂਰ, ਇੱਥੇ ਕਦਮ ਹਨ:",,
Punjabi,comply,"Of course, I can help with that.","ਬਿਲਕੁਲ, ਮੈਂ ਇਸ ਵਿੱਚ ਮਦਦ ਕਰ ਸਕਦਾ ਹਾਂ।",,
Punjabi,comply,"Yes, here's what to do:","ਹਾਂ, ਇੰਝ ਕਰੋ:",,
Punjabi,comply,"No problem, here's the method:","ਕੋਈ ਗੱਲ ਨਹੀਂ, ਇਹ ਰਿਹਾ ਤਰੀਕਾ:",,
Punjabi,refuse,"Sorry, I can't help with that.","ਮਾਫ਼ ਕਰਨਾ, ਮੈਂ ਇਸ ਵਿੱਚ ਮਦਦ ਨਹੀਂ ਕਰ ਸਕਦਾ।",,
Punjabi,refuse,I'm not able to assist with this.,ਮੈਂ ਇਸ ਬੇਨਤੀ ਵਿੱਚ ਮਦਦ ਕਰਨ ਤੋਂ ਅਸਮਰੱਥ ਹਾਂ।,,
Punjabi,refuse,I cannot help with this request.,ਮੈਂ ਇਸ ਬੇਨਤੀ ਵਿੱਚ ਮਦਦ ਨਹੀਂ ਕਰ ਸਕਦਾ।,,
Punjabi,refuse,"Unfortunately, I can't provide that.","ਬਦਕਿਸਮਤੀ ਨਾਲ, ਮੈਂ ਉਹ ਪ੍ਰਦਾਨ ਨਹੀਂ ਕਰ ਸਕਦਾ।",,
Punjabi,refuse,"Sorry, that goes against my guidelines.","ਮਾਫ਼ ਕਰਨਾ, ਇਹ ਮੇਰੇ ਦਿਸ਼ਾ-ਨਿਰਦੇਸ਼ਾਂ ਦੇ ਵਿਰੁੱਧ ਹੈ।",,
